"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-03-01,2026-04-01,linh3,35-44,unknown,active,,,,225000,Daily,4485,20,13,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-03-01,2026-04-01,linh3,45-54,female,active,,,,225000,Daily,60702,301,215,Ongoing,"7-day click or 1-day view",1,,,,,1,60702,8
2026-03-01,2026-04-01,linh3,45-54,male,active,,,,225000,Daily,60410,479,338,Ongoing,"7-day click or 1-day view",,,,,,,,25
2026-03-01,2026-04-01,linh3,45-54,unknown,active,,,,225000,Daily,3561,9,7,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,linh3,55-64,female,active,,,,225000,Daily,28033,87,59,Ongoing,"7-day click or 1-day view",,,,,,,,7
2026-03-01,2026-04-01,linh3,55-64,male,active,,,,225000,Daily,19485,88,61,Ongoing,"7-day click or 1-day view",,,,,,,,3
2026-03-01,2026-04-01,linh3,55-64,unknown,active,,,,225000,Daily,229,2,2,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,linh3,65+,female,active,,,,225000,Daily,6435,64,42,Ongoing,"7-day click or 1-day view",1,1,,,6435,1,6435,2
2026-03-01,2026-04-01,linh3,65+,male,active,,,,225000,Daily,16370,129,96,Ongoing,"7-day click or 1-day view",,,,,,,,9
2026-03-01,2026-04-01,linh3,65+,unknown,active,,,,225000,Daily,1898,3,2,Ongoing,"7-day click or 1-day view",,,,,,,,0
2026-03-01,2026-04-01,aaaaamaaanhhh,18-24,female,active,18,actions:onsite_conversion.lead_grouped,140312.61111111,320000,Daily,2525627,28551,10469,Ongoing,"7-day click or 1-day view",32,30,,,84187.566667,31,81471.83871,521
2026-03-01,2026-04-01,aaaaamaaanhhh,18-24,male,active,21,actions:onsite_conversion.lead_grouped,120843.61904762,320000,Daily,2537716,45826,16824,Ongoing,"7-day click or 1-day view",36,29,,,87507.448276,32,79303.625,914
