"Reporting starts","Reporting ends","Campaign name",Age,Gender,"Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (VND)",Impressions,Reach,Ends,"Attribution setting","Total messaging contacts","New messaging contacts","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (VND)","Messaging conversations started","Cost per messaging conversation started (VND)","Clicks (all)"
2026-01-01,2026-02-01,nlinh2,25-34,male,inactive,2,actions:onsite_conversion.lead_grouped,408464,210000,Daily,816928,9674,7355,Ongoing,"7-day click or 1-day view",13,11,,,74266.181818,13,62840.615385,502
2026-01-01,2026-02-01,nlinh2,25-34,unknown,inactive,,,,210000,Daily,6776,85,64,Ongoing,"7-day click or 1-day view",,,,,,,,5
2026-01-01,2026-02-01,nlinh2,35-44,female,inactive,1,actions:onsite_conversion.lead_grouped,130528,210000,Daily,130528,303,217,Ongoing,"7-day click or 1-day view",2,2,,,65264,2,65264,10
2026-01-01,2026-02-01,nlinh2,35-44,male,inactive,3,actions:onsite_conversion.lead_grouped,94467,210000,Daily,283401,1745,1290,Ongoing,"7-day click or 1-day view",4,4,,,70850.25,4,70850.25,110
2026-01-01,2026-02-01,nlinh2,35-44,unknown,inactive,,,,210000,Daily,1635,11,11,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-01-01,2026-02-01,nlinh2,45-54,female,inactive,1,actions:onsite_conversion.lead_grouped,69643,210000,Daily,69643,150,108,Ongoing,"7-day click or 1-day view",1,1,,,69643,1,69643,13
2026-01-01,2026-02-01,nlinh2,45-54,male,inactive,,,,210000,Daily,85965,495,340,Ongoing,"7-day click or 1-day view",,,,,,,,27
2026-01-01,2026-02-01,nlinh2,45-54,unknown,inactive,,,,210000,Daily,7725,7,5,Ongoing,"7-day click or 1-day view",,,,,,,,2
2026-01-01,2026-02-01,nlinh2,55-64,female,inactive,,,,210000,Daily,30087,49,27,Ongoing,"7-day click or 1-day view",3,2,,,15043.5,2,15043.5,6
2026-01-01,2026-02-01,nlinh2,55-64,male,inactive,,,,210000,Daily,21235,69,48,Ongoing,"7-day click or 1-day view",,,,,,,,4
